2024-08-15 21:50:20,935:INFO:Starting data pipeline...
2024-08-15 21:50:20,936:INFO:Extracting data...
2024-08-15 21:50:23,022:INFO:Transforming data...
2024-08-15 21:50:23,042:INFO:Training and saving model...
2024-08-15 21:50:23,188:INFO:Evaluating model...
2024-08-15 21:50:23,224:INFO:Visualizing data...
2024-08-15 21:50:23,311:DEBUG:Loaded backend macosx version unknown.
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,595:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
